Player,UID,WM,W,DW,IW,IF,WG
Aarón Escandell,67192427.0,6.3,6.15,8.5,7.25,6.4,6.54
Javi Izquierdo,67288498.0,6.9,6.35,8.75,8.35,7.4,6.92
Víctor Gómez,67257950.0,11.9,12.9,12.3,12.0,11.2,11.75
Rasmus Lauritsen,27069979.0,10.9,10.5,13.0,10.8,10.5,11.25
Patric,67100019.0,12.2,10.8,13.15,12.55,11.45,10.92
Lluís Recasens,67295940.0,10.2,9.5,11.4,9.9,9.5,9.83
Dominik Kruzliak,63026929.0,10.6,9.05,13.1,10.0,10.75,9.71
Braian Cufré,14131295.0,12.4,12.6,12.5,13.2,12.3,11.67
Sergi Rosanas,67265793.0,11.95,12.1,12.0,11.5,11.1,11.33
Pep Chavarría,67277695.0,11.8,11.8,11.7,11.3,10.2,11.33
Ryan Johansson,90086790.0,12.05,11.7,12.5,12.4,11.8,11.33
Sebastián Cabrera,75036622.0,12.6,12.45,13.1,12.6,12.35,11.96
Gabriel Torres,2000438016.0,10.1,10.8,12.0,9.4,9.1,11.25
John McGinn,61043070.0,13.6,13.15,13.2,14.35,14.1,12.25
Rodrigo Zalazar,67271371.0,11.5,11.75,11.9,12.35,12.3,11.33
Ifeanyi Mathew,53141633.0,13.15,12.6,12.4,14.0,13.7,11.83
Amarildo Gojani,2000505067.0,12.0,13.1,9.4,14.0,13.7,12.42
Michel Vlap,215665.0,11.25,11.55,10.1,12.35,12.2,11.71
Che Nunnely,37055838.0,10.95,12.65,9.0,11.8,12.05,11.79
Àlex Collado,67246435.0,11.7,12.45,9.55,12.85,12.25,11.54
Óscar Clemente,67259874.0,12.85,12.25,11.9,13.55,13.4,11.62
Nils Mortimer,67265795.0,10.35,12.15,8.05,12.1,12.2,11.88
Miguel,2000192899.0,12.15,13.95,9.8,13.4,12.55,13.04
Gonzalo Maroni,14137723.0,11.6,12.0,9.75,12.6,12.2,11.0
Olaus Skarsem,89051875.0,10.35,11.35,8.75,11.7,11.3,10.12
Freddy Vargas,86061304.0,12.25,12.95,11.2,12.75,12.5,12.29
Gianluca Bellucci,2000508898.0,12.1,12.0,11.0,12.9,12.8,11.42
Javier Pascua,2000573866.0,10.65,11.5,8.05,11.85,12.25,10.75
Cheick Ibra Koné,2000631747.0,10.9,11.7,8.75,12.0,11.6,10.83
Ángel Cabello,2000438822.0,12.5,13.5,10.85,13.6,13.4,13.33
Fran López,67279609.0,11.75,11.55,9.7,13.4,13.95,11.29
Álvaro Santamaría,67298126.0,10.6,12.35,8.9,11.5,11.65,12.62
