Player,UID,WM,W,DW,IW,IF,WG
Mauricio Morán,2000192669.0,7.2,8.2,8.9,7.95,7.4,8.0
Ángel Luis Arcas,2000571805.0,11.75,11.45,11.8,12.65,11.65,11.75
Juan Ángel Muñoz,2000512204.0,10.65,10.1,12.0,10.6,9.8,10.67
Ricardo Peralta,2000438819.0,11.25,10.75,12.45,10.35,10.1,11.38
Josep,2000513274.0,11.6,12.75,12.25,11.6,10.9,12.12
Ramiro Gabarri,2000198124.0,11.0,12.7,9.15,12.9,12.7,12.17
Gustavo Zamora,2000512210.0,10.35,12.25,8.3,12.85,12.05,11.92
Mamadou Coly,2000440193.0,10.7,12.3,9.75,11.6,11.3,11.58
Luis Nsambi,2000631649.0,12.85,12.75,10.3,14.15,13.0,12.54
Alberto,2000512206.0,12.5,13.4,10.65,13.7,13.4,12.92
Bright Adjei,2000660374.0,12.3,13.0,10.8,13.5,13.8,12.25
Guillermo Centurión,78095397.0,7.4,7.2,8.15,8.7,8.25,7.33
Kike Barja,67196202.0,12.5,12.85,10.95,13.25,12.65,11.96
Ezequiel Aranda,14246685.0,12.85,13.75,10.6,13.7,14.35,13.21
Álex Olmedo,2000034591.0,10.8,10.1,9.1,12.4,11.5,9.5
Raúl De Tomás,67156425.0,11.45,11.75,9.9,11.85,12.1,11.71
Sem Westerveld,37079077.0,5.4,4.9,6.4,5.8,5.8,5.42
Fali,67155014.0,11.0,9.7,12.25,10.45,9.95,10.33
Chema Nuñez,67232678.0,11.1,11.6,10.4,12.25,12.0,10.67
Antonio Sánchez,67272744.0,10.95,11.4,11.15,10.9,10.5,10.92
Fran Pérez,95078306.0,11.3,12.0,10.2,12.15,12.3,11.83
Diego Moreno,2000024303.0,12.05,12.8,12.6,11.2,10.8,12.0
Junior Esparragoza,2000179937.0,10.4,10.4,12.5,10.65,10.1,10.5
Francisco Jesús Carbonell,2000440196.0,13.4,13.15,12.45,14.45,13.35,12.79
