Player,UID,FB,WB,IWB,CWB,NNFB
Agustín Kranevitter,2000612966.0,8.6,6.0,9.2,6.69,9.2
Özgün Karatepe,2000631119.0,13.5,12.3,12.5,11.77,13.7
David Krecek,2000569970.0,13.8,11.5,12.4,10.54,14.0
Mateo Gómez,2000512705.0,11.2,10.1,10.6,9.69,12.0
Antonio Navarro,2000571902.0,12.3,10.8,10.6,10.62,11.5
Scott Diaz,2000706461.0,11.3,10.5,11.4,11.38,11.2
Manuel Bosch,2000514796.0,11.8,11.9,11.7,12.46,10.6
Gonzalo Cuadros,2000647507.0,9.9,9.7,10.2,10.92,8.3
Koldo Valencia,2000663358.0,10.8,11.0,10.2,11.46,10.1
Víctor,2000440738.0,10.9,11.1,11.4,11.69,10.3
Carl Mooney,2000410920.0,10.7,10.1,9.5,10.62,8.4
Aritz García,2000439255.0,12.9,10.5,11.5,9.92,13.5
Stefán Þór Jónsson,2000531873.0,12.5,10.8,11.6,10.38,13.2
Francesco Zamuner,2000626880.0,11.3,10.8,11.8,11.54,11.9
Agustín Agirre,2000439259.0,12.8,11.3,13.0,11.77,13.3
Vicente,2000571659.0,9.1,9.4,8.6,10.23,8.3
Felipe,2000510074.0,11.9,12.3,10.8,11.85,11.2
Alen Bartolović,2000506471.0,9.5,10.2,8.7,10.46,7.8
Raffaele Russo,2000324450.0,8.9,6.4,8.5,6.38,8.6
Saverio van Lopik,2000437951.0,9.0,9.2,10.6,10.31,8.4
Harald Klingmann,2000504134.0,12.9,11.2,11.7,11.15,12.7
Jannis Emde,2000504247.0,9.6,9.2,9.6,10.08,9.4
Buster Juul Vibe,2000566892.0,9.9,10.5,9.5,10.85,8.3
Matt Bonfield,2000567798.0,12.2,11.1,11.6,10.38,12.0
Leandro Alves,2000568887.0,8.7,8.9,7.8,9.08,8.2
Roberto van Brakel,2000572868.0,10.4,10.8,10.0,11.38,8.9
Kian Van Den Bergh,2000632259.0,11.1,11.5,9.4,11.38,8.8
Ronald Woudenberg,2000633117.0,8.3,6.6,8.4,6.54,8.4
Lukas Chrenko,2000662685.0,13.3,11.8,12.9,11.54,13.5
Álvaro Sánchez,2000685713.0,10.0,10.0,9.2,10.85,8.0
