Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Rubén Blanco,67156610.0,12.42,10.39,10.14,10.21,10.1,9.91,10.27,9.72,10.12,9.33
Luís Rodrigues,2000436535.0,13.48,13.05,13.17,12.79,13.02,12.11,12.85,12.05,12.5,11.69
Ricardo Graça,83107071.0,13.34,13.03,13.16,12.92,12.94,12.65,12.83,12.64,12.75,12.59
Andrejs Ciganiks,37075484.0,11.82,12.03,11.67,12.09,12.02,11.98,12.03,12.01,11.95,11.43
Billy Gilmour,61078265.0,12.85,12.17,11.49,12.29,12.46,12.52,12.74,12.43,12.77,12.14
Antonio Blanco,67256515.0,13.55,13.31,13.25,13.28,13.26,12.98,13.25,12.94,13.13,12.74
Gorka Alarcón,2000194477.0,11.65,11.79,10.94,12.34,11.4,12.65,12.05,12.88,12.52,12.35
Rodrigo Gogna,2000273938.0,12.95,13.22,12.71,13.48,13.45,13.72,14.1,13.72,14.04,13.64
Octavian Popescu,57175903.0,12.4,12.68,12.08,13.09,12.65,13.24,13.11,13.31,13.26,12.68
Yago Freitas,2000570843.0,12.38,12.17,10.97,12.85,11.98,13.31,12.78,13.61,13.4,13.24
Christian Kouamé,43201838.0,13.29,12.52,11.66,12.81,12.21,13.1,12.76,13.3,13.35,13.37
Sergio Rico,67171745.0,10.24,8.14,8.38,7.67,8.11,7.54,8.05,7.16,7.68,7.4
Timo Zaal,2000022712.0,13.12,12.57,13.22,12.12,12.03,11.33,11.39,11.4,11.28,11.13
Luis Garai,2000681737.0,11.48,11.3,10.36,11.73,10.89,12.14,11.4,12.5,11.89,11.59
Dawid Kownacki,96059679.0,12.35,11.92,11.41,12.04,11.71,12.26,12.15,12.29,12.31,12.38
Ali Tweed,2000432931.0,13.08,12.2,12.66,11.67,11.82,11.15,11.49,11.15,11.17,10.97
Reiss Nelson,28107919.0,11.52,11.49,10.46,11.93,11.48,12.26,11.99,12.5,12.32,11.69
Aarón Martín,67196209.0,12.72,12.69,12.33,12.81,12.59,12.75,12.53,12.87,12.52,12.13
Manu Morlanes,67228802.0,13.15,13.19,12.97,13.22,13.44,12.9,13.38,12.93,13.3,12.44
Unai Gómez,2000065899.0,11.88,12.0,11.54,12.13,12.34,12.1,12.76,12.04,12.61,11.55
Junior Esparragoza,2000179937.0,13.09,12.12,12.47,11.69,11.79,10.89,11.23,10.95,11.03,10.7
Germán,2000194475.0,13.17,12.28,12.56,11.99,11.78,11.53,11.59,11.48,11.57,11.57
Emil Bohinen,53126104.0,12.0,11.99,11.22,12.38,12.1,12.79,12.6,12.77,12.8,12.17
Pedro Esperancinha,2000437963.0,13.82,12.45,12.54,12.07,11.98,11.4,11.52,11.52,11.49,10.92
Nino,2000511282.0,11.28,11.52,10.78,11.87,11.52,12.36,12.08,12.41,12.27,12.05
